"page_number","title","url","metascore","userscore","publish_date"
"2","Galactic Civilizations II: Twilight of the Arnor (PC)","/game/pc/galactic-civilizations-ii-twilight-of-the-arnor","92","8.3","2008-04-30"
"2","Super Smash Bros. for Wii U (WIIU)","/game/wii-u/super-smash-bros-for-wii-u","92","8.9","2014-11-21"
"2","Guitar Hero II (PS2)","/game/playstation-2/guitar-hero-ii","92","8.4","2006-11-07"
"2","Final Fantasy VII (PS)","/game/playstation/final-fantasy-vii","92","9.1","1997-09-03"
"2","Rock Band (PS3)","/game/playstation-3/rock-band","92","8.1","2007-11-20"
"2","Chrono Trigger (DS)","/game/ds/chrono-trigger","92","9.1","2008-11-25"
"2","Bayonetta 2 (Switch)","/game/switch/bayonetta-2","92","8.5","2018-02-16"
"2","Journey (PS3)","/game/playstation-3/journey","92","8.8","2012-03-13"
"2","Xenoblade Chronicles (WII)","/game/wii/xenoblade-chronicles","92","9.2","2012-04-06"
"2","Conker's Bad Fur Day (N64)","/game/nintendo-64/conkers-bad-fur-day","92","9.0","2001-03-04"
"2","Medal of Honor (PS)","/game/playstation/medal-of-honor","92","8.7","1999-10-31"
"2","PaRappa the Rapper (PS)","/game/playstation/parappa-the-rapper","92","7.6","1997-10-31"
"2","Rock Band 2 (X360)","/game/xbox-360/rock-band-2","92","8.1","2008-09-14"
"2","Mario Kart 8 Deluxe (Switch)","/game/switch/mario-kart-8-deluxe","92","8.6","2017-04-28"
"2","The ICO & Shadow of the Colossus Collection (PS3)","/game/playstation-3/the-ico-shadow-of-the-colossus-collection","92","8.7","2011-09-27"
"2","Rayman Origins (WII)","/game/wii/rayman-origins","92","8.5","2011-11-15"
"2","Metroid Prime 2: Echoes (GC)","/game/gamecube/metroid-prime-2-echoes","92","8.9","2004-11-15"
"2","Out of the Park Baseball 17 (PC)","/game/pc/out-of-the-park-baseball-17","92","3.3","2016-03-22"
"2","Metroid Fusion (GBA)","/game/game-boy-advance/metroid-fusion","92","9.0","2002-11-17"
"2","The Witcher 3: Wild Hunt - Blood and Wine (PC)","/game/pc/the-witcher-3-wild-hunt---blood-and-wine","92","9.3","2016-05-30"
"2","Final Fantasy VI Advance (GBA)","/game/game-boy-advance/final-fantasy-vi-advance","92","8.7","2007-02-05"
"2","Rayman Legends (WIIU)","/game/wii-u/rayman-legends","92","8.7","2013-09-03"
"2","Tiger Woods PGA Tour 2003 (PC)","/game/pc/tiger-woods-pga-tour-2003","92","5.0","2002-10-31"
"2","Madden NFL 2005 (XBOX)","/game/xbox/madden-nfl-2005","91","7.4","2004-08-09"
"2","Super Street Fighter IV (X360)","/game/xbox-360/super-street-fighter-iv","91","7.7","2010-04-27"
"2","Pac-Man Championship Edition DX (PS3)","/game/playstation-3/pac-man-championship-edition-dx","91","7.8","2010-11-23"
"2","Rock Band 2 (PS3)","/game/playstation-3/rock-band-2","91","7.9","2008-10-19"
"2","Dark Souls II (X360)","/game/xbox-360/dark-souls-ii","91","7.9","2014-03-11"
"2","Dishonored (PC)","/game/pc/dishonored","91","8.4","2012-10-08"
